location,date,iso_code,continent,new_cases,total_cases,new_deaths,total_deaths,reproduction_rate,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_tests_per_thousand,positive_rate,hospital_beds_per_thousand,population,population_density,median_age,gdp_per_capita,stringency_index,confirmed_cases,rolling_7day,rolling_14day,Rt,growth_rate,doubling_time,cases_per_million,future_cases_14d,future_growth,outbreak_label,xgb_risk,xgb_risk_label,warning
Afghanistan,2024-08-04,AFG,Asia,0.0,235214.0,0.0,7998.0,0.8,46.56,44.67,24.81,0.17,0.5,41128772,54.42,18.6,1803.99,0.0,209451.0,0.0,0.0,1.0,0.0,257.37178683386156,5718.964816163245,0.0,0.0,0,0,Low,✅ Stable
Albania,2024-08-04,ALB,Europe,0.0,335047.0,0.0,3605.0,0.88,47.47,45.01,565.34,0.43,2.89,2842318,104.87,38.0,11803.43,11.11,334457.0,0.0,0.0,1.0,0.0,58632.524999846915,117878.08401452616,0.0,0.0,0,0,Low,✅ Stable
Algeria,2024-08-04,DZA,Africa,18.0,272139.0,0.0,6881.0,0.91,17.46,14.43,5.22,,1.9,44903228,17.35,29.1,13913.84,11.11,271496.0,2.5714285714285716,1.7142857142857142,1.0,6.614704488083767e-05,10582.4833333225,6060.56651428267,2.5714285714285716,0.4615384615384616,0,2,High,"⚠️ Low Vaccination, Accelerating Cases"
American Samoa,2024-08-04,ASM,Oceania,0.0,8359.0,0.0,34.0,,,,,,,44295,278.2,,,,,0.0,0.0,1.0,0.0,324.37222222221374,188712.04424878655,0.0,0.0,0,0,Low,✅ Stable
Andorra,2024-08-04,AND,Europe,0.0,48015.0,0.0,159.0,0.84,72.53,67.01,3799.72,0.7,,79843,163.76,,,11.11,47890.0,0.0,0.0,1.0,0.0,819.0682926828489,601367.6840800069,0.0,0.0,0,2,High,✅ Stable
Angola,2024-08-04,AGO,Africa,0.0,107481.0,0.0,1937.0,0.13,46.5,27.0,46.91,0.03,,35588996,23.89,16.8,5819.5,17.02,105288.0,0.0,0.0,1.0,0.0,37617.65000000761,3020.06271826269,0.0,0.0,0,0,Low,✅ Stable
Anguilla,2024-08-04,AIA,North America,0.0,3904.0,0.0,12.0,,68.36,65.38,3261.73,0.08,,15877,,,,,,0.0,0.0,1.0,0.0,71.21578947368403,245890.28153933364,0.0,0.0,0,2,High,✅ Stable
Antigua and Barbuda,2024-08-04,ATG,North America,0.0,9106.0,0.0,146.0,0.0,68.56,66.53,179.15,0.01,3.8,93772,231.84,32.1,21490.94,,9106.0,0.0,0.0,1.0,0.0,796.0749999999513,97107.87868446871,0.0,0.0,0,0,Low,✅ Stable
Argentina,2024-08-04,ARG,South America,54.0,10101218.0,1.0,130663.0,0.09,91.25,76.69,809.78,0.29,5.0,45510324,16.18,31.9,18933.91,14.38,10044957.0,7.714285714285714,9.928571428571429,1.0,5.345918549615192e-06,130941.01481407478,221954.4295048306,7.714285714285714,0.5454545454545455,0,2,High,✅ Stable
Armenia,2024-08-04,ARM,Asia,0.0,452273.0,0.0,8777.0,-0.07,41.39,37.07,1111.54,0.0,4.2,2780472,102.93,35.7,8787.58,,447308.0,0.0,0.0,1.0,0.0,5862.098148147036,162660.51231589456,0.0,0.0,0,0,Low,✅ Stable
Aruba,2024-08-04,ABW,North America,0.0,44224.0,0.0,292.0,,85.05,79.25,7.44,,,106459,584.8,41.2,35973.78,25.93,,0.0,0.0,1.0,0.0,1289.1666666664603,415408.74890803033,0.0,0.0,0,2,High,✅ Stable
Australia,2024-08-04,AUS,Oceania,0.0,11861161.0,0.0,25236.0,0.87,84.93,82.7,2830.52,0.42,3.84,26177410,3.2,37.9,44648.71,11.11,11399460.0,0.0,0.0,1.0,0.0,1036.7625390477513,453106.7435624838,0.0,0.0,0,2,High,✅ Stable
Austria,2024-08-04,AUT,Europe,15.0,6082444.0,0.0,22534.0,0.87,77.18,74.76,21272.13,0.08,7.37,8939617,106.75,44.4,45436.69,35.19,5961143.0,2.142857142857143,2.142857142857143,1.0,2.466120031963115e-06,283846.6866686843,680392.0123199909,2.142857142857143,0.7894736842105262,0,2,High,✅ Stable
Azerbaijan,2024-08-04,AZE,Asia,63.0,835757.0,0.0,10353.0,0.95,51.88,46.94,673.7,0.02,4.7,10358078,119.31,32.4,15847.42,34.94,828825.0,9.0,8.642857142857142,1.0,7.538644527782523e-05,9285.488888887876,80686.49415461053,9.0,0.6237623762376238,0,2,High,✅ Stable
Bahamas,2024-08-04,BHS,North America,0.0,39127.0,0.0,849.0,0.14,42.64,40.73,591.31,0.35,2.9,409989,39.5,34.3,27717.85,20.37,37491.0,0.0,4.5,1.0,0.0,434.04444444442396,95434.26774864692,0.0,0.0,0,2,High,✅ Stable
Bahrain,2024-08-04,BHR,Asia,0.0,696614.0,0.0,1536.0,0.84,84.31,83.33,6812.9,0.28,2.0,1472237,1935.91,32.4,43290.7,11.11,710693.0,0.0,0.0,1.0,0.0,574.3351415094345,473167.02405930567,0.0,0.0,0,2,High,✅ Stable
Bangladesh,2024-08-04,BGD,Asia,40.0,2051348.0,0.0,29499.0,1.4,88.5,83.07,81.61,0.28,0.8,171186368,1265.04,27.5,3523.98,13.89,2037871.0,5.714285714285714,5.428571428571429,1.0,1.949975332804499e-05,35897.890000138825,11983.127067688007,5.714285714285714,0.851063829787234,0,2,High,✅ Stable
Barbados,2024-08-04,BRB,North America,57.0,108582.0,0.0,593.0,0.01,58.18,55.05,2480.36,0.18,5.8,281646,664.46,39.8,16978.07,11.11,106798.0,8.142857142857142,7.785714285714286,1.0,0.000525224602626162,1332.763157894638,385526.5120044311,8.142857142857142,1.2127659574468084,0,2,High,✅ Stable
Belarus,2024-08-04,BLR,Europe,0.0,994037.0,0.0,7118.0,-0.0,68.55,67.28,1380.27,0.04,11.0,9534956,46.86,40.3,17167.97,0.0,994037.0,0.0,0.0,1.0,0.0,61.59417188898868,104251.87069557532,0.0,0.0,0,0,Low,✅ Stable
Belgium,2024-08-04,BEL,Europe,1277.0,4872829.0,0.0,34339.0,0.63,79.46,78.68,2955.33,0.26,5.64,11655923,375.56,41.8,42658.58,11.11,4739365.0,182.42857142857142,190.71428571428572,0.9167264895908112,0.0002621341207074135,2670.388723569946,418056.0389769218,182.42857142857142,0.7511764705882352,0,0,Low,✅ Stable
Belize,2024-08-04,BLZ,North America,0.0,71414.0,0.0,688.0,0.05,63.78,54.63,1432.14,0.15,1.3,405285,16.43,25.0,7824.36,11.11,70757.0,0.0,0.07142857142857142,1.0,0.0,49989.10000024573,176206.86677276483,0.0,0.0,0,2,High,✅ Stable
Benin,2024-08-04,BEN,Africa,0.0,28036.0,0.0,163.0,0.05,27.69,20.54,46.5,,0.5,13352864,99.11,18.8,2064.24,11.11,27999.0,0.0,0.0,1.0,0.0,6541.033333335751,2099.6244700762322,0.0,0.0,0,0,Low,✅ Stable
Bermuda,2024-08-04,BMU,North America,0.0,18860.0,0.0,165.0,,75.62,74.22,653.22,0.09,,64207,1308.82,,50669.32,11.11,,0.0,0.0,1.0,0.0,1199.481818181941,293737.4429579329,0.0,0.0,0,2,High,✅ Stable
Bhutan,2024-08-04,BTN,Asia,0.0,62697.0,0.0,21.0,0.16,89.35,86.61,2201.54,0.04,1.7,782457,21.19,28.6,8708.6,5.56,62627.0,0.0,0.0,1.0,0.0,14628.600000008355,80128.36488139284,0.0,0.0,0,2,High,✅ Stable
Bolivia,2024-08-04,BOL,South America,2.0,1212147.0,0.0,22387.0,1.43,60.22,50.4,367.6,0.07,1.1,12224114,10.2,25.4,6885.83,24.07,1194277.0,0.2857142857142857,0.14285714285714285,1.0,1.6499676194214885e-06,424250.7499907386,99160.31542245108,0.2857142857142857,0.2857142857142857,0,2,High,✅ Stable
Bonaire Sint Eustatius and Saba,2024-08-04,BES,North America,0.0,11922.0,0.0,41.0,,70.64,61.87,,,,27052,,,,,,0.0,0.0,1.0,0.0,8344.699999989913,440706.7869288777,0.0,0.0,0,0,Low,✅ Stable
Bosnia and Herzegovina,2024-08-04,BIH,Europe,0.0,403666.0,0.0,16392.0,0.87,29.18,26.17,458.37,0.23,3.5,3233530,68.5,42.5,11713.9,25.93,401729.0,0.0,0.2857142857142857,1.0,0.0,70640.84999925861,124837.56142667611,0.0,0.0,0,2,High,"⚠️ Low Vaccination, High Positivity Rate"
Botswana,2024-08-04,BWA,Africa,0.0,330696.0,0.0,2801.0,0.18,74.18,63.24,882.84,0.05,1.8,2630300,4.04,25.8,15807.37,0.0,329758.0,0.0,0.0,1.0,0.0,5031.630434785554,125725.58263315972,0.0,0.0,0,0,Low,✅ Stable
Brazil,2024-08-04,BRA,South America,0.0,37511921.0,0.0,702116.0,1.05,88.08,81.82,330.91,,2.2,215313504,25.04,33.5,14103.45,22.22,37076053.0,0.0,0.0,1.0,0.0,1095.6818246346331,174220.01083592046,0.0,0.0,0,2,High,✅ Stable
British Virgin Islands,2024-08-04,VGB,North America,0.0,7557.0,0.0,64.0,,62.13,58.28,3104.88,,,31332,207.97,,,,,0.0,0.0,1.0,0.0,1057.2800000000361,241191.1145155113,0.0,0.0,0,0,Low,✅ Stable
Brunei,2024-08-04,BRN,Asia,288.0,347723.0,1.0,179.0,0.55,100.48,99.49,209.24,,2.7,449002,81.35,32.4,71809.25,11.11,279661.0,41.142857142857146,46.714285714285715,0.7868852459016394,0.0008289320304517567,844.4600694444266,774435.3031835047,41.142857142857146,0.7093596059113301,0,0,Low,✅ Stable
Bulgaria,2024-08-04,BGR,Europe,257.0,1329988.0,0.0,38700.0,0.82,31.79,30.64,1463.9,0.08,7.45,6781955,65.18,44.7,18563.31,11.11,1297523.0,36.714285714285715,28.571428571428573,1.7972027972027973,0.00019327217309372813,3621.835408558956,196106.87478757967,36.714285714285715,3.381578947368421,0,2,High,"⚠️ Rising Rt, Accelerating Cases"
Burkina Faso,2024-08-04,BFA,Africa,0.0,22139.0,0.0,400.0,-0.0,26.86,23.08,14.7,0.0,0.4,22673764,70.15,17.6,1703.1,8.33,22056.0,0.0,0.0,1.0,0.0,15496.599999999504,976.4148555131825,0.0,0.0,0,0,Low,✅ Stable
Burundi,2024-08-04,BDI,Africa,0.0,54569.0,0.0,15.0,0.11,0.29,0.28,128.38,0.02,0.8,12889583,423.06,17.5,702.22,19.44,53631.0,0.0,0.0,1.0,0.0,12732.066666651428,4233.573731593955,0.0,0.0,0,0,Low,✅ Stable
Cambodia,2024-08-04,KHM,Asia,6.0,139319.0,0.0,3056.0,0.73,91.35,87.63,179.49,0.0,0.8,16767851,90.67,25.6,3645.07,5.56,138719.0,0.8571428571428571,0.6428571428571429,1.0,4.306848607082969e-05,16253.18333337262,8308.697399565395,0.8571428571428571,0.49999999999999994,0,0,Low,✅ Stable
Cameroon,2024-08-04,CMR,Africa,0.0,125246.0,0.0,1974.0,0.06,13.45,11.45,100.42,0.0,1.3,27914542,50.88,18.8,3364.93,8.33,124392.0,0.0,0.2857142857142857,1.0,0.0,21917.349999935483,4486.765356924,0.0,0.0,0,0,Low,✅ Stable
Canada,2024-08-04,CAN,North America,38.0,4819055.0,0.0,55282.0,0.77,90.35,82.59,1629.61,0.09,2.5,38454328,4.04,41.4,44017.59,5.56,4617095.0,5.428571428571429,26.071428571428573,1.0,7.88542559604366e-06,88771.36579047929,125318.92378928061,5.428571428571429,0.08016877637130802,0,2,High,✅ Stable
Cape Verde,2024-08-04,CPV,Africa,0.0,64474.0,0.0,417.0,0.47,60.14,52.05,,0.12,2.1,593162,135.58,25.7,6222.55,11.11,,0.0,0.0,1.0,0.0,15043.23333330547,108695.4322765113,0.0,0.0,0,2,High,✅ Stable
Cayman Islands,2024-08-04,CYM,North America,0.0,31472.0,0.0,37.0,,90.38,88.32,137.34,0.0,,68722,256.5,,49903.03,,,0.0,0.0,1.0,0.0,194.25929203539332,457961.0605046419,0.0,0.0,0,0,Low,✅ Stable
Central African Republic,2024-08-04,CAF,Africa,0.0,15441.0,0.0,113.0,0.04,46.61,44.54,17.36,0.0,1.0,5579148,7.48,18.3,661.24,8.33,15368.0,0.0,0.0,1.0,0.0,10807.999999992551,2767.6268849652315,0.0,0.0,0,0,Low,✅ Stable
Chad,2024-08-04,TCD,Africa,0.0,7702.0,0.0,194.0,0.32,29.04,28.33,12.74,0.0,,17723312,11.83,16.7,1768.15,13.89,7679.0,0.0,0.0,1.0,0.0,1347.1499999998653,434.56888870432346,0.0,0.0,0,0,Low,✅ Stable
Chile,2024-08-04,CHL,South America,100.0,5401126.0,0.0,62730.0,1.1,92.27,90.29,2040.36,0.15,2.11,19603736,24.28,35.4,22767.04,13.89,5192286.0,14.285714285714286,14.142857142857142,1.0204081632653061,1.85150006684065e-05,37807.18199996942,275515.13650255237,14.285714285714286,1.4492753623188406,0,2,High,✅ Stable
China,2024-08-04,CHN,Asia,2087.0,99373219.0,15.0,122304.0,1.02,91.89,89.54,6461.91,0.0,4.34,1425887360,147.67,38.7,15308.71,49.54,4903524.0,298.14285714285717,299.2857142857143,0.9923918212077985,2.1002075331066905e-05,33330.03948255241,69692.19433995124,298.14285714285717,1.0461152882205516,0,2,High,✅ Stable
Colombia,2024-08-04,COL,South America,976.0,6391876.0,0.0,142727.0,0.0,82.92,71.72,684.08,0.08,1.71,51874028,44.22,32.2,13254.95,19.44,6359093.0,139.42857142857142,145.57142857142858,0.9190207156308849,0.00015271714469000663,4583.637295084957,123219.19554810743,139.42857142857142,1.0093071354705274,0,2,High,✅ Stable
Comoros,2024-08-04,COM,Africa,0.0,9109.0,0.0,160.0,0.19,52.44,47.45,122.06,0.0,2.2,836783,437.35,20.4,1413.89,,9008.0,0.0,0.0,1.0,0.0,1593.3749999996514,10885.737401452945,0.0,0.0,0,0,Low,✅ Stable
Congo,2024-08-04,COG,Africa,0.0,25227.0,0.0,389.0,0.07,11.65,10.96,67.69,0.0,,5970430,15.4,19.0,4881.41,13.89,,0.0,0.0,1.0,0.0,17658.19999997976,4225.32380414811,0.0,0.0,0,0,Low,✅ Stable
Cook Islands,2024-08-04,COK,Oceania,1.0,7345.0,0.0,2.0,,88.73,86.47,,,,17032,,,,,,0.14285714285714285,0.07142857142857142,1.0,0.00013616557734197343,5140.800000002812,431247.0643494599,0.14285714285714285,0.14285714285714285,0,2,High,✅ Stable
Costa Rica,2024-08-04,CRI,North America,0.0,1234701.0,0.0,9372.0,0.43,89.77,84.35,713.53,0.18,1.13,5180836,96.08,33.6,15525.0,11.11,1209725.0,0.0,0.0,1.0,0.0,3415.4687747036646,238320.80382393883,0.0,0.0,0,2,High,✅ Stable
Cote d'Ivoire,2024-08-04,CIV,Africa,0.0,88434.0,0.0,835.0,0.54,48.18,43.2,56.08,0.03,,28160548,76.4,18.7,3601.01,13.89,88263.0,0.0,0.0,1.0,0.0,61903.09999999009,3140.350819877511,0.0,0.0,0,0,Low,✅ Stable
Croatia,2024-08-04,HRV,Europe,0.0,1317144.0,0.0,18752.0,1.03,57.64,55.87,1212.45,0.22,5.54,4030361,73.73,44.0,22669.8,11.11,1269326.0,0.0,0.0,1.0,0.0,16762.950909081792,326805.4648206451,0.0,0.0,0,2,High,✅ Stable
Cuba,2024-08-04,CUB,North America,0.0,1113662.0,0.0,8530.0,0.93,96.37,89.67,470.56,0.09,5.2,11212198,110.41,43.1,,11.11,1112643.0,0.0,0.0,1.0,0.0,389780.9999940503,99325.9305624107,0.0,0.0,0,0,Low,✅ Stable
Curacao,2024-08-04,CUW,North America,0.0,45883.0,0.0,305.0,,56.81,52.77,116.11,0.22,,191173,362.64,41.7,,,,0.0,0.0,1.0,0.0,485.9378787878611,240007.7416790028,0.0,0.0,0,0,Low,✅ Stable
Cyprus,2024-08-04,CYP,Europe,0.0,696410.0,0.0,1451.0,1.28,74.91,72.11,32925.83,0.03,3.4,896007,127.66,37.3,32415.13,11.11,650685.0,0.0,27.071428571428573,1.0,0.0,1285.5453825856155,777237.2314055582,0.0,0.0,0,2,High,✅ Stable
Czechia,2024-08-12,CZE,Europe,0.0,0.0,0.0,0.0,0.71,66.53,65.71,5193.49,0.11,6.63,10493990,137.18,43.3,32605.91,11.11,4618256.0,0.0,40.785714285714285,1.0,0.0,-0.7,0.0,0.0,0.0,0,0,Low,✅ Stable
Democratic Republic of Congo,2024-08-04,COD,Africa,0.0,101009.0,0.0,1474.0,0.64,17.22,14.54,10.9,0.1,,99010216,35.88,17.0,808.13,25.0,,0.0,2.5714285714285716,1.0,0.0,1963.3638888886655,1020.1876541709595,0.0,0.0,0,2,High,✅ Stable
Denmark,2024-08-04,DNK,Europe,0.0,3435679.0,0.0,9693.0,0.73,80.69,80.11,11043.26,0.19,2.5,5882259,136.52,42.3,46682.52,11.11,3451036.0,0.0,0.0,1.0,0.0,13360.27388888802,584074.7576738801,0.0,0.0,0,2,High,✅ Stable
Djibouti,2024-08-04,DJI,Africa,0.0,15690.0,0.0,189.0,0.0,37.61,35.79,280.16,0.0,1.4,1120851,41.28,25.4,2705.41,2.78,15690.0,0.0,0.0,1.0,0.0,2745.049999998859,13998.292368923256,0.0,0.0,0,0,Low,✅ Stable
Dominica,2024-08-04,DMA,North America,0.0,16047.0,0.0,74.0,0.0,45.35,42.14,2836.08,0.0,3.8,72758,98.57,,9673.37,24.07,15760.0,0.0,0.0,1.0,0.0,3743.600000001782,220553.0663294758,0.0,0.0,0,0,Low,✅ Stable
Dominican Republic,2024-08-04,DOM,North America,0.0,661103.0,0.0,4384.0,0.24,65.61,54.6,309.79,0.15,1.6,11228821,222.87,27.6,14600.86,5.56,660790.0,0.0,0.0,1.0,0.0,7978.129310343602,58875.5489111457,0.0,0.0,0,2,High,✅ Stable
East Timor,2024-08-04,TLS,Asia,0.0,23460.0,0.0,138.0,0.21,0.2,0.0,108.32,0.05,5.9,1341298,87.18,18.0,6570.1,42.59,,0.0,0.0,1.0,0.0,0.0,17490.520376530792,0.0,0.0,0,0,Low,✅ Stable
Ecuador,2024-08-04,ECU,South America,157.0,1077445.0,0.0,36050.0,0.22,85.18,79.11,161.29,0.27,1.5,18001002,66.94,28.1,10581.94,11.11,1057121.0,22.428571428571427,23.071428571428573,0.9457831325301204,0.00014573633048908796,4803.194904460784,59854.72364260612,22.428571428571427,0.9573170731707317,0,2,High,✅ Stable
Egypt,2024-08-04,EGY,Africa,0.0,516023.0,0.0,24830.0,-0.0,51.27,38.15,109.42,0.0,1.6,110990096,98.0,25.3,10550.21,10.29,515759.0,0.0,0.0,1.0,0.0,13377.6740740897,4649.2706880801325,0.0,0.0,0,0,Low,✅ Stable
El Salvador,2024-08-04,SLV,North America,3.0,201920.0,0.0,4230.0,0.0,73.43,68.56,304.33,0.11,1.3,6336393,307.81,27.6,7292.46,26.85,201785.0,0.42857142857142855,0.5714285714285714,1.0,1.4857589999861531e-05,47113.96666663462,31866.710287698377,0.42857142857142855,0.2727272727272727,0,2,High,✅ Stable
England,2023-12-08,OWID_ENG,Europe,0.0,0.0,0.0,0.0,,80.31,75.95,,,,56550000,,,,,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0,0,Low,✅ Stable
Equatorial Guinea,2024-08-04,GNQ,Africa,0.0,17130.0,0.0,183.0,0.09,16.13,12.78,296.46,0.02,2.1,1674916,45.19,22.4,22604.87,,17229.0,0.0,0.0,1.0,0.0,798.7000000000625,10227.378567044556,0.0,0.0,0,0,Low,✅ Stable
Eritrea,2024-08-04,ERI,Africa,0.0,10189.0,0.0,103.0,0.03,,,6.54,,0.7,3684041,44.3,19.3,1510.46,0.0,10189.0,0.0,0.0,1.0,0.0,7131.600000005327,2765.712976592823,0.0,0.0,0,0,Low,✅ Stable
Estonia,2024-08-12,EST,Europe,0.0,0.0,0.0,0.0,1.29,65.62,65.06,2577.76,0.12,4.69,1326064,31.03,42.7,29481.25,11.11,615433.0,0.0,0.0,1.0,0.0,-0.7,0.0,0.0,0.0,0,0,Low,✅ Stable
Eswatini,2024-08-04,SWZ,Africa,0.0,75356.0,0.0,1427.0,0.76,43.78,35.56,461.02,0.04,2.1,1201680,79.49,21.5,7738.98,11.11,74267.0,0.0,0.0,1.0,0.0,7534.900000004942,62708.87424272685,0.0,0.0,0,0,Low,✅ Stable
Ethiopia,2024-08-04,ETH,Africa,0.0,501193.0,0.0,7574.0,1.03,42.54,35.38,41.77,0.13,0.3,123379928,104.96,19.8,1729.93,22.22,500116.0,0.0,0.0,1.0,0.0,43853.687500238826,4062.1923527139684,0.0,0.0,0,0,Low,✅ Stable
Falkland Islands,2024-08-04,FLK,South America,0.0,1923.0,0.0,0.0,,69.24,46.7,,,,3801,,,,,,0.0,0.0,1.0,0.0,35.68108108108112,505919.49486977106,0.0,0.0,0,0,Low,✅ Stable
Faroe Islands,2024-08-04,FRO,Europe,0.0,34658.0,0.0,28.0,,78.53,76.99,14707.4,0.66,,53117,35.31,,,14.81,,0.0,0.0,1.0,0.0,45.95500000000001,652484.1387879587,0.0,0.0,0,2,High,✅ Stable
Fiji,2024-08-04,FJI,Oceania,0.0,69047.0,0.0,885.0,1.01,76.58,68.96,604.06,,2.3,929769,49.56,28.6,8702.98,25.74,68898.0,0.0,0.0,1.0,0.0,6904.000000001496,74262.5318761972,0.0,0.0,0,2,High,✅ Stable
Finland,2024-08-04,FIN,Europe,0.0,1499712.0,0.0,11466.0,0.12,81.65,78.46,1994.02,0.33,3.28,5540745,18.14,42.8,40585.72,11.11,1463644.0,0.0,0.0,1.0,0.0,3975.809090909055,270669.73845574923,0.0,0.0,0,0,Low,✅ Stable
France,2024-08-04,FRA,Europe,0.0,38997490.0,0.0,168091.0,0.74,80.63,78.44,4126.75,0.23,5.98,67813000,122.58,42.0,38605.67,11.11,39866718.0,0.0,0.0,1.0,0.0,3419.2753194672464,575073.9533717723,0.0,0.0,0,2,High,✅ Stable
French Guiana,2024-08-04,GUF,South America,0.0,98041.0,0.0,413.0,,,,,,,304568,,25.3,,,,0.0,0.0,1.0,0.0,5278.430769231015,321901.8412965249,0.0,0.0,0,0,Low,✅ Stable
French Polynesia,2024-08-04,PYF,Oceania,47.0,79387.0,0.0,650.0,,62.33,60.99,,,,306292,77.32,32.7,,,,6.714285714285714,3.357142857142857,1.0,0.0005923871943533943,1181.6595744681279,259187.3114544291,6.714285714285714,3.357142857142857,0,0,Low,✅ Stable
Gabon,2024-08-04,GAB,Africa,0.0,49051.0,0.0,307.0,0.08,13.03,10.78,683.37,0.04,6.3,2388997,7.86,23.1,16562.41,11.11,48981.0,0.0,0.0,1.0,0.0,17167.149999971964,20532.047549662053,0.0,0.0,0,0,Low,✅ Stable
